"ID"	"MaxEcotype"	"AssignmentP"	"AssignmentQ"	"AssignedToEcotypeStates"	"Ecotype"
"47"	"RNA_LMU_KKG_15_Rez"	"CE9"	2.18116551815667e-05	0.000871384042202473	TRUE	"CE9"
"66"	"RNA_LMU_KKG_ADJ_10"	"CE9"	9.43784270615903e-06	0.000522227296407466	TRUE	"CE9"
"84"	"RNA_LMU_KKG_ADJ_28"	"CE9"	0.000201726664537041	0.00214696491150518	TRUE	"CE9"
"108"	"RNA_LMU_KKG_ADJ_52"	"CE9"	0.000751731104937197	0.00524824094433363	TRUE	"CE9"
"111"	"RNA_LMU_KKG_ADJ_55"	"CE9"	0.00201867473326481	0.0101545456279382	TRUE	"CE9"
"119"	"RNA_LMU_KKG_ADJ_63"	"CE9"	0.000228681803537013	0.00214696491150518	TRUE	"CE9"
"125"	"RNA_LMU_KKG_ADJ_69"	"CE9"	4.57106374954168e-05	0.00108399511774846	TRUE	"CE9"
"7"	"RNA_J_10_U_T_PT"	"CE10"	2.62465072952552e-05	0.000871384042202473	TRUE	"CE10"
"12"	"RNA_J_32_M_T_PT"	"CE10"	0.00419004113092896	0.016964556774005	TRUE	"CE10"
"14"	"RNA_J_35_M_T_PT"	"CE10"	0.000614332793438885	0.00485615446242166	TRUE	"CE10"
"36"	"RNA_LMU_KKG_10_PT"	"CE10"	0.000103439425294417	0.00171709445988733	TRUE	"CE10"
"59"	"RNA_LMU_KKG_ADJ_03"	"CE10"	0.000864484912575527	0.00551940367259759	TRUE	"CE10"
"61"	"RNA_LMU_KKG_ADJ_05"	"CE10"	7.59271110174198e-05	0.00157548755361146	TRUE	"CE10"
"65"	"RNA_LMU_KKG_ADJ_09"	"CE10"	0.000274020018840931	0.00239406963829445	TRUE	"CE10"
"77"	"RNA_LMU_KKG_ADJ_21"	"CE10"	0.00163872562209273	0.0090676151089131	TRUE	"CE10"
"91"	"RNA_LMU_KKG_ADJ_35"	"CE10"	0.000232803424139116	0.00214696491150518	TRUE	"CE10"
"103"	"RNA_LMU_KKG_ADJ_47"	"CE10"	0.000183543845800406	0.00214696491150518	TRUE	"CE10"
"105"	"RNA_LMU_KKG_ADJ_49"	"CE10"	1.67782940187988e-06	0.00027851968071206	TRUE	"CE10"
"106"	"RNA_LMU_KKG_ADJ_50"	"CE10"	0.000167644205148392	0.00214696491150518	TRUE	"CE10"
"107"	"RNA_LMU_KKG_ADJ_51"	"CE10"	0.000116342233261949	0.00175571006558941	TRUE	"CE10"
"117"	"RNA_LMU_KKG_ADJ_61"	"CE10"	0.00161747884633952	0.0090676151089131	TRUE	"CE10"
"126"	"RNA_LMU_KKG_ADJ_70"	"CE10"	0.0295759634681685	0.0772786949671838	TRUE	"CE10"
"127"	"RNA_LMU_KKG_ADJ_72"	"CE10"	0.00183652445541453	0.00983429224512298	TRUE	"CE10"
"129"	"RNA_LMU_KKG_ADJ_74"	"CE10"	0.00058321369733147	0.0048406736878512	TRUE	"CE10"
"143"	"RNA_Lue_06_PT"	"CE10"	0.00195512937754433	0.0101422336460112	TRUE	"CE10"
"145"	"RNA_Lue_07_PT"	"CE10"	7.59090618544871e-06	0.000522227296407466	TRUE	"CE10"
"4"	"RNA_J_05_U_T_PT"	"CE2"	0.173606502012619	0.23750006816896	FALSE	"Unassigned"
"10"	"RNA_J_22_U_T_PT"	"CE4"	0.318754341704817	0.362419320020546	TRUE	"Unassigned"
"19"	"RNA_LMU_KKG_01_Rez"	"CE4"	0.121550156998792	0.195896369532033	FALSE	"Unassigned"
"20"	"RNA_LMU_KKG_02_PT"	"CE5"	0.101737312262541	0.172330549342671	FALSE	"Unassigned"
"21"	"RNA_LMU_KKG_02_Rez"	"CE3"	0.0261534329926363	0.0704093373440688	FALSE	"Unassigned"
"22"	"RNA_LMU_KKG_03_PT"	"CE4"	0.0628931981002316	0.127320376641932	FALSE	"Unassigned"
"23"	"RNA_LMU_KKG_03_Rez"	"CE4"	0.119906514962474	0.195141975331085	FALSE	"Unassigned"
"24"	"RNA_LMU_KKG_04_PT"	"CE2"	0.19033094462336	0.250753466726014	FALSE	"Unassigned"
"25"	"RNA_LMU_KKG_04_Rez"	"CE5"	0.435386125292671	0.448907433531574	FALSE	"Unassigned"
"29"	"RNA_LMU_KKG_06_Rez"	"CE5"	0.0978007072855755	0.16991140360179	FALSE	"Unassigned"
"30"	"RNA_LMU_KKG_07_PT"	"CE2"	0.213548382448783	0.268553268837106	FALSE	"Unassigned"
"31"	"RNA_LMU_KKG_07_Rez"	"CE2"	0.0185570148912736	0.0531114564129556	FALSE	"Unassigned"
"32"	"RNA_LMU_KKG_08_PT"	"CE4"	0.0856030074448553	0.153943568957835	FALSE	"Unassigned"
"34"	"RNA_LMU_KKG_09_PT"	"CE4"	0.444049529218433	0.455013715125061	FALSE	"Unassigned"
"38"	"RNA_LMU_KKG_11_PT"	"CE5"	0.0865573527283964	0.153943568957835	FALSE	"Unassigned"
"40"	"RNA_LMU_KKG_12_PT"	"CE2"	0.274130201831143	0.325040096456927	TRUE	"Unassigned"
"41"	"RNA_LMU_KKG_12_Rez"	"CE1"	0.45549989288043	0.463883326491726	FALSE	"Unassigned"
"44"	"RNA_LMU_KKG_14_PT"	"CE10"	0.0553855546340071	0.117871821400579	FALSE	"Unassigned"
"46"	"RNA_LMU_KKG_15_PT"	"CE5"	0.394092500721904	0.424801007271663	FALSE	"Unassigned"
"51"	"RNA_LMU_KKG_17_Rez"	"CE4"	0.25376609413513	0.312038308343937	TRUE	"Unassigned"
"52"	"RNA_LMU_KKG_18_Rez"	"CE2"	0.188300179922024	0.250062638936448	FALSE	"Unassigned"
"53"	"RNA_LMU_KKG_20_PT"	"CE1"	0.401730210821571	0.426945300770957	FALSE	"Unassigned"
"55"	"RNA_LMU_KKG_21_PT"	"CE2"	0.480730377924473	0.48364389536644	FALSE	"Unassigned"
"57"	"RNA_LMU_KKG_ADJ_01"	"CE2"	0.386871694152329	0.420783414683515	FALSE	"Unassigned"
"60"	"RNA_LMU_KKG_ADJ_04"	"CE1"	0.289614103199	0.336195392524714	TRUE	"Unassigned"
"62"	"RNA_LMU_KKG_ADJ_06"	"CE5"	0.260320879547377	0.317744602976946	FALSE	"Unassigned"
"63"	"RNA_LMU_KKG_ADJ_07"	"CE8"	0.0605390637822261	0.125618557348119	FALSE	"Unassigned"
"64"	"RNA_LMU_KKG_ADJ_08"	"CE3"	0.542550369426318	0.542550369426318	FALSE	"Unassigned"
"67"	"RNA_LMU_KKG_ADJ_11"	"CE1"	0.387830496666131	0.420783414683515	FALSE	"Unassigned"
"68"	"RNA_LMU_KKG_ADJ_12"	"CE5"	0.293860229664488	0.338755542529895	FALSE	"Unassigned"
"72"	"RNA_LMU_KKG_ADJ_16"	"CE6"	0.158385948187595	0.222814130501193	FALSE	"Unassigned"
"74"	"RNA_LMU_KKG_ADJ_18"	"CE4"	0.377831365019755	0.415364282074698	FALSE	"Unassigned"
"76"	"RNA_LMU_KKG_ADJ_20"	"CE1"	0.373947808831496	0.413835575106856	TRUE	"Unassigned"
"79"	"RNA_LMU_KKG_ADJ_23"	"CE4"	0.423498851702966	0.442143455237059	FALSE	"Unassigned"
"81"	"RNA_LMU_KKG_ADJ_25"	"CE9"	0.0068293318738026	0.0244842269818539	FALSE	"Unassigned"
"85"	"RNA_LMU_KKG_ADJ_29"	"CE1"	0.198167092662807	0.255005716139736	FALSE	"Unassigned"
"86"	"RNA_LMU_KKG_ADJ_30"	"CE8"	0.329372672261004	0.371944650308345	FALSE	"Unassigned"
"87"	"RNA_LMU_KKG_ADJ_31"	"CE10"	0.0029579365000475	0.0125901912566125	FALSE	"Unassigned"
"89"	"RNA_LMU_KKG_ADJ_33"	"CE9"	0.28522699815259	0.335353787571113	FALSE	"Unassigned"
"92"	"RNA_LMU_KKG_ADJ_36"	"CE1"	0.426192190714512	0.442174397866307	FALSE	"Unassigned"
"93"	"RNA_LMU_KKG_ADJ_37"	"CE8"	0.269463296590653	0.32488091016697	FALSE	"Unassigned"
"98"	"RNA_LMU_KKG_ADJ_42"	"CE8"	0.272182987160675	0.325040096456927	FALSE	"Unassigned"
"99"	"RNA_LMU_KKG_ADJ_43"	"CE5"	0.462878171560582	0.468523027311321	TRUE	"Unassigned"
"100"	"RNA_LMU_KKG_ADJ_44"	"CE8"	0.0300496474764696	0.0772786949671838	FALSE	"Unassigned"
"101"	"RNA_LMU_KKG_ADJ_45"	"CE2"	0.311779191117543	0.356933418796635	FALSE	"Unassigned"
"104"	"RNA_LMU_KKG_ADJ_48"	"CE1"	0.421403591058869	0.442143455237059	FALSE	"Unassigned"
"109"	"RNA_LMU_KKG_ADJ_53"	"CE8"	0.246729065032883	0.305649438772079	FALSE	"Unassigned"
"113"	"RNA_LMU_KKG_ADJ_57"	"CE5"	0.0866434038729344	0.153943568957835	FALSE	"Unassigned"
"114"	"RNA_LMU_KKG_ADJ_58"	"CE1"	0.40379766398217	0.426945300770957	FALSE	"Unassigned"
"116"	"RNA_LMU_KKG_ADJ_60"	"CE8"	0.197174567196475	0.255005716139736	FALSE	"Unassigned"
"118"	"RNA_LMU_KKG_ADJ_62"	"CE8"	0.154215914472373	0.221843949050335	FALSE	"Unassigned"
"120"	"RNA_LMU_KKG_ADJ_64"	"CE5"	0.147567196525836	0.221843949050335	FALSE	"Unassigned"
"121"	"RNA_LMU_KKG_ADJ_65"	"CE8"	0.243808337261209	0.304302135228275	FALSE	"Unassigned"
"122"	"RNA_LMU_KKG_ADJ_66"	"CE8"	0.0113631381936788	0.0369859007872681	FALSE	"Unassigned"
"123"	"RNA_LMU_KKG_ADJ_67"	"CE5"	0.372829564146391	0.413835575106856	FALSE	"Unassigned"
"124"	"RNA_LMU_KKG_ADJ_68"	"CE8"	0.0741688814481761	0.141517635866635	FALSE	"Unassigned"
"131"	"RNA_LMU_KKG_ADJ_76"	"CE4"	0.194454625068128	0.254169037490624	TRUE	"Unassigned"
"132"	"RNA_LMU_KKG_ADJ_77"	"CE4"	0.201801009990056	0.257684366602687	FALSE	"Unassigned"
"137"	"RNA_Lue_03_PT"	"CE6"	0.270081720500252	0.32488091016697	FALSE	"Unassigned"
"148"	"RNA_Lue_08_Rez_1"	"CE8"	0.286868902621073	0.335353787571113	FALSE	"Unassigned"
"149"	"RNA_Lue_09_PT"	"CE5"	0.39969194200483	0.426945300770957	FALSE	"Unassigned"
"157"	"RNA_Lue_13_PT"	"CE4"	0.213275212411797	0.268553268837106	FALSE	"Unassigned"
"159"	"RNA_Lue_14_PT"	"CE4"	0.150002926950939	0.221843949050335	FALSE	"Unassigned"
"161"	"RNA_Lue_15_PT"	"CE2"	0.360373398020367	0.404202595076898	TRUE	"Unassigned"
